model,epoch,eval_accuracy,eval_f1,eval_precision,eval_recall,eval_loss,loss,train_loss,grad_norm,eval_runtime,train_runtime
ModernBERT-large,4.0,0.9907908570538531,0.9414023372287145,0.9339185160649222,0.9490070683271625,0.05467494577169418,0.0048,,2.4185407161712646,8.6856,
ModernBERT-large,5.0,0.9910829017561621,0.944189538666889,0.9361455748552523,0.9523729384045776,0.06242339685559273,0.0039,,1.097505807876587,8.1774,
ModernBERT-large,6.0,0.9906545695261088,0.9421805706635428,0.9369279414212015,0.9474924267923258,0.05328242480754852,0.0028,,0.05124163627624512,8.6956,
ModernBERT-large,7.0,0.9905961605856469,0.9420314066154359,0.9351575456053068,0.9490070683271625,0.05694001168012619,0.0026,,0.027152402326464653,9.1657,
ModernBERT-large,8.0,0.9911607803434446,0.9453177257525084,0.9393486208042539,0.9513631773813531,0.06596551835536957,0.0028,,0.1576816290616989,8.1832,
ModernBERT-large,9.0,0.9911218410498034,0.9470775414503433,0.9425,0.9516997643890945,0.06566318869590759,0.0019,,0.030555125325918198,8.674,
ModernBERT-large,10.0,0.9908103267006737,0.9441004184100419,0.9389147802929427,0.9493436553349041,0.05923563614487648,0.0031,0.01968287554037055,0.2879067063331604,8.7085,1029.3768
bert-base-cased,1.0,0.9869942759238347,0.920603015075377,0.9163054351450484,0.9249410972736453,0.05185260623693466,0.1752,,1.0764061212539673,4.5298,
bert-base-cased,2.0,0.9898952533001051,0.9428499284572006,0.9430880619632935,0.942611915180074,0.05000923573970795,0.0349,,2.292668104171753,4.4421,
bert-base-cased,3.0,0.9905766909388264,0.9447050938337802,0.9406072739406073,0.9488387748232918,0.0437917485833168,0.0207,,0.9101017713546753,3.905,
bert-base-cased,4.0,0.9907908570538531,0.9443468072642062,0.9392375561844515,0.9495119488387749,0.048591986298561096,0.0128,,2.1203343868255615,4.4572,
bert-base-cased,5.0,0.9910244928157004,0.9477743314611451,0.9442124603307166,0.9513631773813531,0.050188615918159485,0.0081,,1.2542352676391602,3.923,
bert-base-cased,6.0,0.99069350881975,0.9453510754037994,0.9402363908773098,0.9505217098619994,0.0551125593483448,0.0064,,0.6416184902191162,4.4442,
bert-base-cased,7.0,0.9911607803434446,0.946575113046391,0.942,0.9511948838774823,0.05422096699476242,0.005,,0.017006173729896545,4.3883,
bert-base-cased,8.0,0.99069350881975,0.9453478625314333,0.9417167668670675,0.9490070683271625,0.05834875628352165,0.0033,,0.003156330669298768,4.4429,
bert-base-cased,9.0,0.9912970678711888,0.9476426590469789,0.9464495551452073,0.9488387748232918,0.05588844045996666,0.0029,,1.8819164037704468,4.0577,
bert-base-cased,10.0,0.9912775982243682,0.9496137050722204,0.9477036540395575,0.9515314708852238,0.05723295733332634,0.003,0.027208963287718477,0.09462014585733414,3.9073,530.3254
deberta-v2-xlarge,1.0,0.9929325182041198,0.9596706435893126,0.9582214765100671,0.9611242006058566,0.03349879011511803,0.1595,,1.3360514640808105,13.7794,
deberta-v2-xlarge,2.0,0.9933803200809938,0.9636775438302158,0.9606957685231644,0.9666778862335914,0.03095119073987007,0.0301,,0.8360993266105652,13.8601,
deberta-v2-xlarge,3.0,0.9931661539659671,0.9607908847184986,0.9566232899566233,0.9649949511948839,0.03216589242219925,0.0243,,0.4194604456424713,13.6403,
deberta-v2-xlarge,4.0,0.9926015342081694,0.9586431615005431,0.9518831923013108,0.9654998317064961,0.04150274023413658,0.0118,,1.4687597751617432,13.646,
deberta-v2-xlarge,5.0,0.9935750165491998,0.9656155652465616,0.9623871614844534,0.9688657017839112,0.040247756987810135,0.0121,,3.8408405780792236,13.6182,
deberta-v2-xlarge,6.0,0.9925431252677076,0.9611935294610677,0.9574219402237435,0.9649949511948839,0.04216133803129196,0.0075,,0.3001866042613983,13.6514,
